,,,Period,,Highest Temperature °C,,,,Lowest Temperature °C,,,,Rainfall mm,,,,Rainfall occurences,,Maximum Wind km/h,,,
ID,month,month_day,period_start,period_end,highest_temperature_value,highest_temperature_year,highest_temperature_location_ar,highest_temperature_location_en,lowest_temperature_value,lowest_temperature_year,lowest_temperature_location_ar,lowest_temperature_location_en,highest_rainfall_value,highest_rainfall_year,highest_rainfall_location_ar,highest_rainfall_location_en,rainfall_occurence_value,rainfall_period_years,maximum_wind_value,maximum_wind_year,maximum_wind_location_ar,maximum_wind_location_en
98,April,7,2003,2025,43.2,2025,سويحان,  Sweihan,5,2013,جبل جيس, Jais  Mountain,24.4,2013,الفقع,Al Faqa ,6,23,121,2013,جبل حفيت,Hafeet Mountain
99,April,8,2003,2025,43.4,2022,وتييد,Owtaid,6.4,2013,جبل جيس, Jais  Mountain,22,2016,أم الزمول,Um Azimul  ,8,23,77,2016,الجلاع,Alqlaa
100,April,9,2003,2025,44.3,2020,براكة,Barakah ,8.6,2005,ركنة,Raknah,8,2019,براكه,Barakah,11,23,77,2019,الجلاع,Alqlaa
101,April,10,2003,2025,45,2022,بدع دعفس,Bada Dafas,11.8,2004,جبل جيس, Jais  Mountain,20.2,2011,مسافي,Masafi ,10,23,124,2011,مطار العين,Al Ain Airport 
102,April,11,2003,2025,44.9,2017,مزيرعة,Mezaira ,13.1,2009,جبل جيس, Jais  Mountain,12.8,2011,جبل مبرح, Mebreh Mountain ,7,23,85,2023,تل السراب,Tal Al Sarab
103,April,12,2003,2025,46.2,2025,بدع دعفس,Bada Dafas,11.9,2009,جبل جيس, Jais  Mountain,18.8,2019,ميناء الفجيرة,Fujairah Port,11,23,85,2012,مطار آل مكتوم,Al Maktoum Airport
104,April,13,2003,2025,45.7,2022,وتييد,Owtaid,9.5,2009-2019,"جبل جيس، جبل جيس"," Jais Mountain, Jais Mountain",116.2,2019,الغزلة,Ghazla,14,23,101,2010,جبل مبرح,Mebreh Mountain
105,April,14,2003,2025,46.3,2022,وتييد,Owtaid,6.9,2019,جبل جيس, Jais  Mountain,131.2,2019,الغزلة,Ghazla,12,23,106,2003,وتييد,Owtaid 
106,April,15,2003,2025,45.4,2025,سويحان,  Sweihan,9.1,2019,جبل جيس, Jais  Mountain,45,2003,أم الزمول,Um Azimul  ,10,23,89,2024,براكة, Barakah 
107,April,16,2003,2025,44,2014,مخيرز,Mukhariz,9.1,2019,ركنة,Raknah,259.5,2024,خطم الشكلة,Khatam Al Shaklah ,8,23,137,2003,مطار العين,Al Ain Airport 
108,April,17,2003,2025,44.5,2015,سويحان, Sweihan,9.5,2024,جبل جيس, Jais  Mountain,153.6,2003,رزين,Rezeen ,3,23,135,2003,مطار العين,Al Ain Airport 
109,April,18,2003,2025,44.9,2013,مخيرز,Mukhariz ,9.6,2007-2024,"ركنة، جبل جيس"," Raknah, Jais  Mountain",17.4,2012,القوع,Alquaa ,10,23,80,2010,جبل مبرح,Mebreh Mountain
110,April,19,2003,2025,44.9,2014,مزيرعة,Mezaira ,9.8,2011,ركنة,Raknah,8.2,2012,أم الزمول,Um Azimul  ,8,23,95,2010,جبل مبرح,Mebreh Mountain
111,April,20,2003,2025,45.6,2013,أم الزمول, Um Azimul ,8.4,2008,ركنة,Raknah,1.3,2020,جبل جيس,Jais Mountain,8,23,89,2010-2017,"جبل مبرح، مطار الفجيرة","Mebreh Mountain, Fujairah Airport"
112,April,21,2003,2025,43.4,2004,حميم,Hamim ,10.4,2015,ركنة,Raknah,5.6,2013,سويحان,Sweihan,5,23,72,2003,مطار دبي,Dubai Airport
113,April,22,2003,2025,44.2,2018,الرويس,Al-Ruwais,10.9,2016,ركنة,Raknah,6.4,2020,ميناء صقر,Saqr Port ,5,23,70,2003,مطار زايد,Zayed  Airport
114,April,23,2003,2025,45,2025,بدع دعفس,Bada Dafas,10.6,2009,دمثة,Damtha,4.8,2003,ركنة,Raknah ,7,23,80,2019,قرنين,Qarnen 
115,April,24,2003,2025,45.2,2015,سويحان, Sweihan,10.6,2009,دمثة,Damtha,84.2,2013,القوع,Alquaa ,7,23,91,2019,قرنين,Qarnen 
116,April,25,2003,2025,45.2,2009,الغويفات,Algheweifat ,10.3,2019,ركنة,Raknah,6.8,2006,الغويفات,Algheweifat ,8,23,100,2010,جبل مبرح,Mebreh Mountain
